x_uk	x_O0C_rate	합계 : PP_wTx	합계 : PP_cnt_plus 	합계 : PP_cnt_minus 	합계 : PR_sum_rate	합계 : PR_cnt_rate	 score 
285-295	0.14-0.15	8.71	4	4	2.483816014	1	 1.4 
265-275	0.05-0.06	23.32	33	23	1.452464106	1.434782609	 1.4 
1055-1065	0.02-0.03	2.09	3	4	3.049019608	0.75	 1.4 
705-715	0.04-0.05	2.79	7	5	1.531428571	1.4	 1.4 
345-355	0.14-0.15	1	3	2	1.297619048	1.5	 1.4 
1565-1575	0.01-0.02	0.19	1	1	2.461538462	1	 1.4 
955-965	0.03-0.04	3.08	4	5	2.925	0.8	 1.4 
165-175	0.15-0.16	6.44	4	3	1.678609062	1.333333333	 1.4 
105-115	0.13-0.14	21.96	9	9	2.452380952	1	 1.4 
495-505	0.13-0.14	3.56	1	2	3.617647059	0.5	 1.4 
645-655	0.05-0.06	1.74	4	3	1.671814672	1.333333333	 1.4 
925-935	0.05-0.06	4.21	1	2	3.614906832	0.5	 1.4 
215-225	0.06-0.07	5.77	34	22	1.171165826	1.545454545	 1.4 
1275-1285	0.02-0.03	1.3	3	2	1.276008493	1.5	 1.4 
265-275	0.07-0.08	37.22	16	15	2.283448276	1.066666667	 1.4 
425-435	0.1-0.11	3.68	2	2	2.4375	1	 1.4 
725-735	0.1-0.11	1	3	2	1.265957447	1.5	 1.4 
805-815	0.01-0.02	9.86	16	12	1.646133683	1.333333333	 1.4 
95-105	0.22-0.23	31.46	3	5	3.347761194	0.6	 1.4 
555-565	0.03-0.04	8.55	14	11	1.77166065	1.272727273	 1.4 
875-885	0.03-0.04	-1.09	5	3	0.845170455	1.666666667	 1.4 
465-475	0.1-0.11	3.23	2	2	2.398268398	1	 1.4 
525-535	0.1-0.11	0.35	3	2	1.217391304	1.5	 1.4 
1135-1145	0.01-0.02	6.4	5	5	2.376344086	1	 1.4 
715-725	0.03-0.04	1.77	3	3	2.372093023	1	 1.4 
185-195	0.17-0.18	4.53	2	2	2.36858006	1	 1.4 
305-315	0.14-0.15	1.1	6	4	1.199275362	1.5	 1.4 
485-495	0.13-0.14	-9.09	2	1	0.030916844	2	 1.4 
695-705	0.08-0.09	3.08	2	2	2.362831858	1	 1.4 
85-95	0.22-0.23	24.37	5	6	2.749461594	0.833333333	 1.4 
115-125	0.05-0.06	40.09	112	80	1.424682203	1.4	 1.4 
1455-1465	0.05-0.06	2.34	1	1	2.352601156	1	 1.4 
15-25	0.09-0.1	102.78	89	85	2.238313253	1.047058824	 1.4 
295-305	0.04-0.05	27.62	35	31	2.045024593	1.129032258	 1.4 
2635-2645	0.02-0.03	0.84	1	1	2.333333333	1	 1.4 
255-265	0.03-0.04	34.13	48	41	1.93302351	1.170731707	 1.4 
165-175	0.13-0.14	5.23	8	6	1.540289256	1.333333333	 1.4 
515-525	0.14-0.15	8.13	2	2	2.309178744	1	 1.4 
805-815	0.07-0.08	4.71	1	2	3.465968586	0.5	 1.4 
15-25	0.11-0.12	86.32	32	39	2.715421304	0.820512821	 1.4 
305-315	0.06-0.07	11.07	17	14	1.795258621	1.214285714	 1.4 
1095-1105	0.17-0.18	2.94	1	1	2.289473684	1	 1.4 
385-395	0.07-0.08	8.46	6	7	2.608365019	0.857142857	 1.4 
1055-1065	0.24-0.25	2.74	1	1	2.256880734	1	 1.4 
475-485	0.03-0.04	7.81	12	11	2.044117647	1.090909091	 1.4 
345-355	0.13-0.14	0.3	3	2	1.084269663	1.5	 1.4 
485-495	0.06-0.07	2.64	7	5	1.314285714	1.4	 1.4 
245-255	0.16-0.17	15.68	3	6	3.401225115	0.5	 1.4 
465-475	0.03-0.04	9.89	18	14	1.566113337	1.285714286	 1.4 
115-125	0.07-0.08	44.63	59	50	1.81071753	1.18	 1.4 
115-125	0.19-0.2	0.59	1	1	2.229166667	1	 1.4 
115-125	0.11-0.12	10.16	19	14	1.394256888	1.357142857	 1.4 
1055-1065	0.01-0.02	1.64	7	5	1.292857143	1.4	 1.4 
205-215	0.07-0.08	16.89	29	23	1.612178325	1.260869565	 1.4 
425-435	0.08-0.09	2.34	4	3	1.438202247	1.333333333	 1.4 
875-885	0.14-0.15	0.34	1	1	2.214285714	1	 1.4 
885-895	0.22-0.23	0.34	1	1	2.214285714	1	 1.4 
935-945	0.08-0.09	0.64	1	1	2.20754717	1	 1.4 
795-805	0.02-0.03	6.66	4	4	2.206521739	1	 1.4 
705-715	0.01-0.02	5.48	13	11	1.779516358	1.181818182	 1.4 
55-65	0.12-0.13	8.41	19	14	1.360634648	1.357142857	 1.4 
255-265	0.11-0.12	14.55	5	5	2.187755102	1	 1.4 
525-535	0.09-0.1	6.15	2	3	2.958598726	0.666666667	 1.4 
435-445	0.11-0.12	0.05	3	2	1.014044944	1.5	 1.4 
455-465	0.05-0.06	1.54	13	9	1.143656716	1.444444444	 1.4 
645-655	0.01-0.02	-11.81	20	12	0.612278398	1.666666667	 1.4 
1215-1225	0.02-0.03	1.62	3	3	2.165467626	1	 1.3 
425-435	0.23-0.24	3.29	1	1	2.16254417	1	 1.3 
155-165	0.09-0.1	-7.83	16	10	0.762367223	1.6	 1.3 
1145-1155	0.02-0.03	1.09	4	3	1.37716263	1.333333333	 1.3 
975-985	0.03-0.04	0.97	3	3	2.154761905	1	 1.3 
395-405	0.09-0.1	1.49	7	5	1.205517241	1.4	 1.3 
95-105	0.25-0.26	11.18	2	2	2.133874239	1	 1.3 
285-295	0.15-0.16	7.46	4	4	2.126888218	1	 1.3 
285-295	0.13-0.14	5.76	4	4	2.125	1	 1.3 
1855-1865	0.01-0.02	1.89	4	3	1.344262295	1.333333333	 1.3 
1035-1045	0.01-0.02	-0.4	9	6	0.954699887	1.5	 1.3 
175-185	0.07-0.08	19.9	34	26	1.39382545	1.307692308	 1.3 
935-945	0.01-0.02	-0.35	6	4	0.944178628	1.5	 1.3 
1715-1725	0.01-0.02	4.37	3	3	2.109137056	1	 1.3 
605-615	0.04-0.05	3.95	8	7	1.772994129	1.142857143	 1.3 
695-705	0.07-0.08	4.37	3	3	2.081683168	1	 1.3 
225-235	0.08-0.09	4.51	19	14	1.242212675	1.357142857	 1.3 
195-205	0.1-0.11	2.48	11	8	1.196202532	1.375	 1.3 
235-245	0.17-0.18	4.19	4	3	1.290166205	1.333333333	 1.3 
635-645	0.1-0.11	-0.65	3	2	0.894480519	1.5	 1.3 
245-255	0.06-0.07	16.44	25	22	1.738544474	1.136363636	 1.3 
805-815	0.09-0.1	1.24	1	1	2.050847458	1	 1.3 
1115-1125	0.01-0.02	-0.85	6	4	0.878917379	1.5	 1.3 
435-445	0.03-0.04	18.22	18	18	2.041738136	1	 1.3 
5-15	0.11-0.12	81.01	46	47	2.084326061	0.978723404	 1.3 
1185-1195	0.03-0.04	1.02	3	3	2.03030303	1	 1.3 
805-815	0.05-0.06	7.1	4	6	2.806615776	0.666666667	 1.3 
675-685	0.13-0.14	0.39	1	1	2.026315789	1	 1.3 
775-785	0.01-0.02	-0.46	16	11	0.964965727	1.454545455	 1.3 
1815-1825	0.05-0.06	0.49	1	1	2.020833333	1	 1.3 
1965-1975	0.05-0.06	0.84	1	1	2.012048193	1	 1.3 
485-495	0.02-0.03	5.04	24	18	1.231830727	1.333333333	 1.3 
335-345	0.03-0.04	4.87	38	28	1.173371307	1.357142857	 1.3 
165-175	0.12-0.13	8.73	7	7	2.002296211	1	 1.3 
835-845	0.01-0.02	3.53	10	9	1.740041929	1.111111111	 1.3 
405-415	0.06-0.07	5.65	11	9	1.47598989	1.222222222	 1.3 
375-385	0.21-0.22	7.46	1	2	3.156069364	0.5	 1.3 
355-365	0.16-0.17	-0.85	3	2	0.813596491	1.5	 1.3 
555-565	0.12-0.13	-1.9	3	2	0.81206726	1.5	 1.3 
305-315	0.03-0.04	21.09	42	35	1.510036276	1.2	 1.3 
75-85	0.19-0.2	12.7	2	3	2.754143646	0.666666667	 1.3 
1005-1015	0.01-0.02	3.34	6	6	1.959770115	1	 1.3 
5-15	0.13-0.14	32.32	19	22	2.271940181	0.863636364	 1.3 
165-175	0.22-0.23	4.04	1	1	1.943925234	1	 1.3 
285-295	0.05-0.06	10	28	22	1.307125307	1.272727273	 1.3 
535-545	0.12-0.13	1.33	2	2	1.943262411	1	 1.3 
905-915	0.01-0.02	1.62	6	5	1.476470588	1.2	 1.3 
515-525	0.09-0.1	-1	3	2	0.775784753	1.5	 1.3 
505-515	0.01-0.02	14.21	37	31	1.488651994	1.193548387	 1.3 
255-265	0.02-0.03	26.67	77	64	1.465282624	1.203125	 1.3 
555-565	0.16-0.17	0.54	1	1	1.931034483	1	 1.3 
765-775	0.02-0.03	-0.51	10	7	0.92926491	1.428571429	 1.3 
835-845	0.03-0.04	-0.85	3	2	0.757834758	1.5	 1.3 
365-375	0.05-0.06	19.81	11	12	2.112296463	0.916666667	 1.3 
225-235	0.02-0.03	32.68	89	75	1.480235121	1.186666667	 1.3 
525-535	0.02-0.03	1.06	22	16	1.040566399	1.375	 1.3 
615-625	0.02-0.03	3.62	14	12	1.516405136	1.166666667	 1.3 
285-295	0.26-0.27	5.94	1	1	1.902735562	1	 1.3 
375-385	0.14-0.15	4.09	3	4	2.476534296	0.75	 1.3 
1155-1165	0.01-0.02	3.31	4	4	1.889784946	1	 1.3 
85-95	0.19-0.2	8.82	3	3	1.882882883	1	 1.3 
575-585	0.03-0.04	3.67	11	10	1.643859649	1.1	 1.3 
205-215	0.11-0.12	2.02	9	7	1.206967213	1.285714286	 1.3 
95-105	0.04-0.05	121.65	206	189	1.658742622	1.08994709	 1.3 
155-165	0.11-0.12	13.78	7	7	1.866121936	1	 1.3 
975-985	0.01-0.02	1.37	6	5	1.380555556	1.2	 1.3 
1895-1905	0.01-0.02	-0.85	3	2	0.680451128	1.5	 1.3 
305-315	0.09-0.1	11.44	8	9	2.092645654	0.888888889	 1.3 
285-295	0.09-0.1	10.73	10	9	1.573183761	1.111111111	 1.2 
675-685	0.04-0.05	1.32	3	3	1.830188679	1	 1.2 
345-355	0.01-0.02	29.09	55	52	1.693279314	1.057692308	 1.2 
455-465	0.02-0.03	21.43	26	28	1.992589162	0.928571429	 1.2 
355-365	0.18-0.19	2.04	1	1	1.822580645	1	 1.2 
265-275	0.12-0.13	6.76	4	4	1.817412334	1	 1.2 
155-165	0.06-0.07	-9.61	48	34	0.851053937	1.411764706	 1.2 
645-655	0.14-0.15	3.19	1	1	1.811704835	1	 1.2 
495-505	0.02-0.03	6.88	17	17	1.808460635	1	 1.2 
155-165	0.07-0.08	24.67	32	34	1.942682461	0.941176471	 1.2 
155-165	0.01-0.02	107.59	228	219	1.707270576	1.04109589	 1.2 
645-655	0.03-0.04	1.47	9	7	1.134738772	1.285714286	 1.2 
705-715	0.08-0.09	3.73	2	2	1.800429185	1	 1.2 
335-345	0.02-0.03	15.7	52	43	1.310952664	1.209302326	 1.2 
375-385	0.25-0.26	3.34	1	1	1.799043062	1	 1.2 
1065-1075	0.17-0.18	2.88	2	2	1.786885246	1	 1.2 
85-95	0.07-0.08	46.43	78	71	1.555183547	1.098591549	 1.2 
145-155	0.05-0.06	35.27	75	66	1.466041226	1.136363636	 1.2 
795-805	0.03-0.04	4.19	6	6	1.778810409	1	 1.2 
1225-1235	0.09-0.1	0.14	1	1	1.777777778	1	 1.2 
345-355	0.06-0.07	-0.08	12	9	0.993144816	1.333333333	 1.2 
415-425	0.15-0.16	2.83	2	2	1.762803235	1	 1.2 
145-155	0.08-0.09	6.55	33	27	1.242952522	1.222222222	 1.2 
395-405	0.01-0.02	18.44	50	47	1.611405836	1.063829787	 1.2 
1415-1425	0.02-0.03	-0.06	4	3	0.973214286	1.333333333	 1.2 
725-735	0.01-0.02	8.98	17	17	1.75083612	1	 1.2 
385-395	0.02-0.03	2.69	32	25	1.097463768	1.28	 1.2 
45-55	0.2-0.21	-0.26	4	3	0.970251716	1.333333333	 1.2 
45-55	0.21-0.22	3.13	2	2	1.743467933	1	 1.2 
1135-1145	0.13-0.14	0.94	1	1	1.734375	1	 1.2 
205-215	0.26-0.27	5.78	2	2	1.730720607	1	 1.2 
1355-1365	0.05-0.06	1.19	1	1	1.73006135	1	 1.2 
405-415	0.02-0.03	10.54	27	25	1.543298969	1.08	 1.2 
2705-2715	0.02-0.03	2.01	1	2	2.896226415	0.5	 1.2 
925-935	0.04-0.05	0.24	1	1	1.727272727	1	 1.2 
925-935	0.11-0.12	4.95	2	3	2.504559271	0.666666667	 1.2 
125-135	0.22-0.23	5.33	2	2	1.724184783	1	 1.2 
235-245	0.1-0.11	0.77	9	7	1.054571226	1.285714286	 1.2 
735-745	0.01-0.02	3.67	17	14	1.220818291	1.214285714	 1.2 
475-485	0.14-0.15	5.42	3	3	1.718832891	1	 1.2 
315-325	0.2-0.21	1.84	1	1	1.713178295	1	 1.2 
595-605	0.03-0.04	10.41	11	12	1.90443093	0.916666667	 1.2 
985-995	0.04-0.05	0.58	5	4	1.124197002	1.25	 1.2 
1545-1555	0.02-0.03	-1.2	3	2	0.540229885	1.5	 1.2 
315-325	0.06-0.07	9.16	20	18	1.445959104	1.111111111	 1.2 
235-245	0.03-0.04	13.24	64	53	1.220703451	1.20754717	 1.2 
195-205	0.04-0.05	26.82	69	62	1.43391037	1.112903226	 1.2 
1755-1765	0.03-0.04	0.09	1	1	1.692307692	1	 1.2 
3195-3205	0.01-0.02	0.99	1	1	1.692307692	1	 1.2 
745-755	0.01-0.02	4.37	16	15	1.536196319	1.066666667	 1.2 
135-145	0.07-0.08	30.49	39	38	1.624283374	1.026315789	 1.2 
115-125	0.06-0.07	38.71	69	69	1.684284957	1	 1.2 
135-145	0.03-0.04	107.08	128	141	1.892110306	0.907801418	 1.2 
575-585	0.02-0.03	13.49	13	14	1.831689273	0.928571429	 1.2 
405-415	0.25-0.26	1.24	1	1	1.659574468	1	 1.2 
415-425	0.16-0.17	2.53	2	2	1.655440415	1	 1.2 
835-845	0.02-0.03	2.15	5	5	1.651515152	1	 1.2 
65-75	0.13-0.14	22.23	14	15	1.806896552	0.933333333	 1.2 
555-565	0.05-0.06	12.84	5	7	2.308868502	0.714285714	 1.2 
55-65	0.08-0.09	45.48	72	72	1.640022516	1	 1.2 
2015-2025	0.04-0.05	0.59	1	1	1.634408602	1	 1.2 
545-555	0.04-0.05	0.13	5	4	1.048689139	1.25	 1.2 
245-255	0.03-0.04	23.36	51	47	1.429332843	1.085106383	 1.2 
265-275	0.09-0.1	-13.71	10	7	0.625	1.428571429	 1.2 
155-165	0.02-0.03	40.02	180	156	1.265243902	1.153846154	 1.2 
495-505	0.06-0.07	5.09	9	8	1.331812256	1.125	 1.2 
165-175	0.04-0.05	43.02	82	79	1.533945637	1.037974684	 1.2 
655-665	0.05-0.06	-0.51	4	3	0.842592593	1.333333333	 1.2 
315-325	0.02-0.03	15.52	50	46	1.416868117	1.086956522	 1.2 
75-85	0.09-0.1	36.69	42	45	1.774868004	0.933333333	 1.2 
1305-1315	0.06-0.07	0.39	1	1	1.619047619	1	 1.2 
155-165	0.05-0.06	4.38	52	42	1.054811663	1.238095238	 1.2 
1685-1695	0.02-0.03	0.99	1	1	1.607361963	1	 1.2 
245-255	0.04-0.05	5.38	26	23	1.299055031	1.130434783	 1.2 
555-565	0.04-0.05	1.64	12	10	1.1312	1.2	 1.2 
1135-1145	0.04-0.05	0.54	1	1	1.580645161	1	 1.2 
105-115	0.03-0.04	114.63	229	230	1.590267765	0.995652174	 1.2 
705-715	0.02-0.03	4.52	14	12	1.190636862	1.166666667	 1.2 
25-35	0.08-0.09	83	122	123	1.597380164	0.991869919	 1.2 
425-435	0.02-0.03	16.63	28	31	1.804158607	0.903225806	 1.2 
375-385	0.11-0.12	0.57	6	5	1.106542056	1.2	 1.2 
885-895	0.01-0.02	2.99	6	6	1.571701721	1	 1.2 
285-295	0.04-0.05	5.32	30	26	1.208382295	1.153846154	 1.2 
1485-1495	0.03-0.04	0.64	1	1	1.566371681	1	 1.2 
475-485	0.01-0.02	12.63	37	37	1.56611385	1	 1.2 
1505-1515	0.01-0.02	0.88	2	2	1.564102564	1	 1.2 
445-455	0.05-0.06	3.09	9	8	1.271290606	1.125	 1.2 
845-855	0.01-0.02	-0.98	9	7	0.889390519	1.285714286	 1.2 
225-235	0.19-0.2	3.85	2	3	2.332179931	0.666666667	 1.2 
1655-1665	0.04-0.05	0.58	2	2	1.547169811	1	 1.2 
465-475	0.02-0.03	-5.41	24	18	0.766709789	1.333333333	 1.2 
35-45	0.07-0.08	116.25	151	164	1.723532707	0.920731707	 1.2 
725-735	0.12-0.13	0.84	1	1	1.53164557	1	 1.2 
395-405	0.03-0.04	5.28	23	21	1.306442252	1.095238095	 1.2 
345-355	0.04-0.05	7.89	18	19	1.650990099	0.947368421	 1.2 
435-445	0.09-0.1	3.6	5	5	1.525547445	1	 1.2 
285-295	0.01-0.02	29.77	71	70	1.48016129	1.014285714	 1.2 
725-735	0.02-0.03	3.4	7	8	1.801886792	0.875	 1.2 
875-885	0.02-0.03	2.77	8	8	1.509191176	1	 1.2 
915-925	0.04-0.05	-1.51	4	3	0.729874776	1.333333333	 1.2 
675-685	0.09-0.1	0.54	1	1	1.5	1	 1.2 
195-205	0.02-0.03	30.27	122	114	1.332747059	1.070175439	 1.1 
735-745	0.03-0.04	2.46	4	4	1.494969819	1	 1.1 
365-375	0.22-0.23	1.64	1	1	1.492492492	1	 1.1 
1455-1465	0.07-0.08	0.84	1	1	1.485549133	1	 1.1 
455-465	0.01-0.02	-4.92	36	28	0.818383167	1.285714286	 1.1 
995-1005	0.03-0.04	-3.36	4	3	0.706293706	1.333333333	 1.1 
145-155	0.04-0.05	38.16	91	87	1.37573848	1.045977011	 1.1 
1905-1915	0.01-0.02	0.54	1	1	1.477876106	1	 1.1 
185-195	0.04-0.05	18.65	71	64	1.218077643	1.109375	 1.1 
365-375	0.04-0.05	16.46	18	20	1.706437768	0.9	 1.1 
115-125	0.02-0.03	117.54	234	248	1.603573996	0.943548387	 1.1 
905-915	0.02-0.03	0.02	6	5	1.001960784	1.2	 1.1 
1045-1055	0.02-0.03	5.49	2	5	2.861016949	0.4	 1.1 
75-85	0.2-0.21	2.88	2	2	1.460063898	1	 1.1 
125-135	0.15-0.16	9.64	5	7	2.126168224	0.714285714	 1.1 
2215-2225	0.05-0.06	0.54	1	1	1.457627119	1	 1.1 
1095-1105	0.03-0.04	1.86	4	4	1.457002457	1	 1.1 
605-615	0.02-0.03	-4.55	14	11	0.818580542	1.272727273	 1.1 
3165-3175	0.01-0.02	0.49	1	1	1.453703704	1	 1.1 
145-155	0.02-0.03	48.9	188	177	1.307721352	1.062146893	 1.1 
1395-1405	0.04-0.05	0.69	1	1	1.450980392	1	 1.1 
285-295	0.21-0.22	1.09	1	1	1.448559671	1	 1.1 
125-135	0.03-0.04	44.8	165	155	1.295125165	1.064516129	 1.1 
1625-1635	0.02-0.03	0.59	1	1	1.443609023	1	 1.1 
645-655	0.11-0.12	0.39	1	1	1.443181818	1	 1.1 
825-835	0.16-0.17	0.69	1	1	1.436708861	1	 1.1 
475-485	0.02-0.03	0.46	26	22	1.011068335	1.181818182	 1.1 
125-135	0.07-0.08	39.13	43	51	1.790824576	0.843137255	 1.1 
105-115	0.06-0.07	35.14	90	87	1.341131929	1.034482759	 1.1 
695-705	0.01-0.02	-6.89	16	12	0.643190057	1.333333333	 1.1 
95-105	0.14-0.15	27.94	7	10	2.119839679	0.7	 1.1 
105-115	0.16-0.17	5.36	4	4	1.419733751	1	 1.1 
125-135	0.1-0.11	7.07	16	15	1.259449541	1.066666667	 1.1 
1945-1955	0.13-0.14	0.24	1	1	1.413793103	1	 1.1 
195-205	0.15-0.16	2.22	3	3	1.41187384	1	 1.1 
1215-1225	0.06-0.07	1.91	1	2	2.578512397	0.5	 1.1 
745-755	0.04-0.05	3.6	4	6	2.188118812	0.666666667	 1.1 
1185-1195	0.22-0.23	1.34	1	1	1.408536585	1	 1.1 
115-125	0.1-0.11	13.68	19	20	1.517202268	0.95	 1.1 
655-665	0.01-0.02	5.71	16	17	1.53564728	0.941176471	 1.1 
95-105	0.18-0.19	16.33	2	7	3.064475348	0.285714286	 1.1 
235-245	0.08-0.09	29.49	10	17	2.358360203	0.588235294	 1.1 
215-225	0.18-0.19	2.68	2	2	1.396449704	1	 1.1 
5-15	0.1-0.11	62.73	57	67	1.741401726	0.850746269	 1.1 
375-385	0.03-0.04	-2.41	31	26	0.944251677	1.192307692	 1.1 
1265-1275	0.08-0.09	0.49	1	1	1.3828125	1	 1.1 
365-375	0.18-0.19	1.43	2	2	1.380319149	1	 1.1 
695-705	0.06-0.07	0.74	1	1	1.373737374	1	 1.1 
1075-1085	0.02-0.03	1.5	5	5	1.37037037	1	 1.1 
625-635	0.03-0.04	0.89	9	8	1.078138718	1.125	 1.1 
85-95	0.05-0.06	28.5	158	147	1.194128465	1.074829932	 1.1 
475-485	0.04-0.05	-9.07	8	6	0.586411309	1.333333333	 1.1 
165-175	0.1-0.11	5.99	11	11	1.361278649	1	 1.1 
725-735	0.03-0.04	0.91	4	4	1.361111111	1	 1.1 
455-465	0.09-0.1	7.11	3	5	2.292727273	0.6	 1.1 
435-445	0.04-0.05	8.28	14	15	1.514285714	0.933333333	 1.1 
2185-2195	0.01-0.02	1.46	1	2	2.520833333	0.5	 1.1 
35-45	0.12-0.13	22.27	15	21	2.020155749	0.714285714	 1.1 
275-285	0.06-0.07	5.71	19	19	1.350952674	1	 1.1 
435-445	0.02-0.03	2.16	20	18	1.090604027	1.111111111	 1.1 
525-535	0.06-0.07	-0.59	7	6	0.959945689	1.166666667	 1.1 
195-205	0.18-0.19	4.11	4	4	1.347715736	1	 1.1 
1685-1695	0.04-0.05	0.34	1	1	1.346938776	1	 1.1 
215-225	0.02-0.03	39.73	95	94	1.31855356	1.010638298	 1.1 
265-275	0.03-0.04	9.69	45	42	1.169970181	1.071428571	 1.1 
475-485	0.06-0.07	10.57	4	7	2.336283186	0.571428571	 1.1 
565-575	0.02-0.03	-12.05	17	13	0.617338838	1.307692308	 1.1 
3835-3845	0.01-0.02	0.24	1	1	1.328767123	1	 1.1 
565-575	0.09-0.1	0.91	4	4	1.328519856	1	 1.1 
65-75	0.06-0.07	100.98	125	149	1.70090928	0.838926174	 1.1 
235-245	0.02-0.03	-4.12	88	76	0.955855566	1.157894737	 1.1 
45-55	0.1-0.11	37.79	36	46	1.830914688	0.782608696	 1.1 
105-115	0.17-0.18	4.41	4	4	1.31567645	1	 1.1 
205-215	0.03-0.04	14	72	68	1.175240956	1.058823529	 1.1 
1155-1165	0.02-0.03	0.33	2	2	1.311320755	1	 1.1 
1435-1445	0.01-0.02	1.3	5	5	1.30952381	1	 1.1 
395-405	0.22-0.23	1.24	1	1	1.307692308	1	 1.1 
875-885	0.04-0.05	0.04	1	1	1.307692308	1	 1.1 
1105-1115	0.04-0.05	0.04	1	1	1.307692308	1	 1.1 
3805-3815	0.01-0.02	0.04	1	1	1.307692308	1	 1.1 
585-595	0.08-0.09	1.17	3	3	1.3046875	1	 1.1 
825-835	0.03-0.04	0.75	5	5	1.3	1	 1.1 
645-655	0.02-0.03	0.33	10	9	1.035598706	1.111111111	 1.1 
1585-1595	0.03-0.04	-2.91	4	3	0.514190317	1.333333333	 1.1 
1315-1325	0.03-0.04	0.52	3	3	1.290502793	1	 1.1 
105-115	0.04-0.05	31.56	160	153	1.183605794	1.045751634	 1.1 
915-925	0.02-0.03	-1.53	6	5	0.816766467	1.2	 1.1 
215-225	0.1-0.11	9.54	8	9	1.538374718	0.888888889	 1.1 
3875-3885	0.03-0.04	0.59	1	1	1.276995305	1	 1.1 
175-185	0.17-0.18	2.87	3	3	1.276227141	1	 1.1 
455-465	0.04-0.05	5.09	11	11	1.276180141	1	 1.1 
1175-1185	0.01-0.02	-3.11	4	3	0.493485342	1.333333333	 1.1 
175-185	0.02-0.03	31.02	130	131	1.284900808	0.992366412	 1.1 
505-515	0.02-0.03	-4.27	24	20	0.796181384	1.2	 1.1 
825-835	0.02-0.03	-4.57	8	6	0.482446206	1.333333333	 1.1 
455-465	0.15-0.16	0.44	1	1	1.247191011	1	 1.1 
205-215	0.27-0.28	1.64	1	1	1.245508982	1	 1.1 
115-125	0.24-0.25	18.07	2	4	2.409516381	0.5	 1.1 
585-595	0.09-0.1	17.35	1	4	2.989678899	0.25	 1.1 
875-885	0.05-0.06	-3.31	4	3	0.460912052	1.333333333	 1.1 
535-545	0.22-0.23	0.89	1	1	1.238605898	1	 1.1 
1335-1345	0.26-0.27	4.51	1	2	2.404984424	0.5	 1.1 
235-245	0.06-0.07	12.3	21	24	1.528577568	0.875	 1.1 
95-105	0.06-0.07	23.97	77	79	1.294761436	0.974683544	 1.1 
255-265	0.01-0.02	35.83	93	101	1.419653315	0.920792079	 1.1 
435-445	0.01-0.02	9.36	44	44	1.234468938	1	 1.1 
525-535	0.15-0.16	3.56	4	4	1.23313687	1	 1.1 
735-745	0.11-0.12	0.69	1	1	1.231543624	1	 1.1 
435-445	0.1-0.11	0.57	3	3	1.228915663	1	 1.1 
75-85	0.1-0.11	33.61	21	32	2.02438281	0.65625	 1.1 
135-145	0.06-0.07	5.66	47	46	1.168804056	1.02173913	 1.1 
195-205	0.06-0.07	7.49	34	33	1.148640603	1.03030303	 1.1 
215-225	0.05-0.06	17.62	29	32	1.435491844	0.90625	 1.1 
1075-1085	0.08-0.09	0.09	1	1	1.209302326	1	 1.1 
235-245	0.04-0.05	-24.37	43	36	0.741377481	1.194444444	 1.1 
275-285	0.02-0.03	10.72	52	54	1.27793622	0.962962963	 1.1 
335-345	0.05-0.06	6.63	17	17	1.186445444	1	 1.1 
1265-1275	0.02-0.03	1.05	2	3	1.963302752	0.666666667	 1.1 
315-325	0.04-0.05	-3.73	27	24	0.890999416	1.125	 1.1 
225-235	0.01-0.02	7.14	134	128	1.067812708	1.046875	 1.1 
585-595	0.12-0.13	0.34	1	1	1.176165803	1	 1.1 
3205-3215	0.02-0.03	0.04	1	1	1.173913043	1	 1.1 
385-395	0.03-0.04	0.27	16	15	1.01512605	1.066666667	 1.1 
2015-2025	0.21-0.22	0.44	1	1	1.158273381	1	 1.0 
165-175	0.05-0.06	26.69	54	58	1.318344466	0.931034483	 1.0 
415-425	0.06-0.07	1.2	5	5	1.156862745	1	 1.0 
45-55	0.11-0.12	14.58	25	29	1.478503446	0.862068966	 1.0 
445-455	0.02-0.03	0.95	23	22	1.050505051	1.045454545	 1.0 
1425-1435	0.12-0.13	0.19	1	1	1.154471545	1	 1.0 
575-585	0.1-0.11	-9.31	4	3	0.370520622	1.333333333	 1.0 
615-625	0.01-0.02	-5.78	22	19	0.773066353	1.157894737	 1.0 
295-305	0.02-0.03	1.79	52	50	1.043080626	1.04	 1.0 
1275-1285	0.01-0.02	0.28	2	2	1.13592233	1	 1.0 
345-355	0.09-0.1	4.82	5	6	1.522210184	0.833333333	 1.0 
495-505	0.03-0.04	-0.65	13	12	0.93844697	1.083333333	 1.0 
215-225	0.03-0.04	47.19	58	74	1.632404181	0.783783784	 1.0 
815-825	0.01-0.02	-5.35	11	9	0.605747973	1.222222222	 1.0 
185-195	0.01-0.02	31.43	171	178	1.208851086	0.960674157	 1.0 
95-105	0.08-0.09	8.63	41	43	1.224798125	0.953488372	 1.0 
895-905	0.03-0.04	5.44	5	7	1.770538244	0.714285714	 1.0 
85-95	0.02-0.03	89.35	452	473	1.206498879	0.955602537	 1.0 
595-605	0.07-0.08	1.66	1	2	2.267175573	0.5	 1.0 
455-465	0.11-0.12	10.96	2	6	2.653092006	0.333333333	 1.0 
965-975	0.01-0.02	-0.88	11	10	0.863565891	1.1	 1.0 
305-315	0.13-0.14	0.81	4	4	1.096774194	1	 1.0 
